,a,TSNE_1,TSNE_2,X     
1297,X11.181,2.941767678,-5.028701564,ES_Rps28_high(Embryonic-Stem-Cell)     
1298,X21.181,2.96167562,-5.310821832,ES_Rps28_high(Embryonic-Stem-Cell)     
1299,X7.10,3.000614281,-5.495685946,TS_Rps28_high(Trophoblast-Stem-Cell)     
1300,X4.181,2.992486259,-5.081998932,ES_Rps28_high(Embryonic-Stem-Cell)     
1301,X11.10,3.111541663,-5.281323826,TS_Rps28_high(Trophoblast-Stem-Cell)     
1302,X8.180,3.079945059,-5.095432251,ES_Nedd4_high(Embryonic-Stem-Cell)     
1303,X12.10,2.994965791,-5.479239742,TS_Rps28_high(Trophoblast-Stem-Cell)     
1304,X43.10,3.060311119,-4.845720363,TS_Rps28_high(Trophoblast-Stem-Cell)     
1305,X14.153,3.04383981,-2.969653576,Erythroblast_Klf1 high(Fetal_Stomache)    
1306,X17.153,2.923950714,-3.026455907,Erythroblast_Klf1 high(Fetal_Stomache)    
1307,X29.153,3.915051608,-4.6473662,Erythroblast_Klf1 high(Fetal_Stomache)    
1308,X15.10,3.0313488,-5.400311862,TS_Rps28_high(Trophoblast-Stem-Cell)     
1309,X9.181,3.034136101,-5.088758071,ES_Rps28_high(Embryonic-Stem-Cell)     
1310,X16.10,3.066443051,-5.51629773,TS_Rps28_high(Trophoblast-Stem-Cell)     
1311,X17.10,2.865388305,-5.554343639,TS_Rps28_high(Trophoblast-Stem-Cell)     
1312,X48.152,4.257274701,-4.493500599,Epithelial cell(Fetal_Stomache)    
1313,X19.10,3.402725344,-5.270182421,TS_Rps28_high(Trophoblast-Stem-Cell)     
1314,X3.179,3.105084973,-5.220587841,ES_Actb_high(Embryonic-Stem-Cell)     
1315,X22.10,2.799780784,-5.675161117,TS_Rps28_high(Trophoblast-Stem-Cell)     
1316,X23.10,3.104630726,-5.565557631,TS_Rps28_high(Trophoblast-Stem-Cell)     
1317,X37.10,3.092322223,-5.279856999,TS_Rps28_high(Trophoblast-Stem-Cell)     
1318,X24.10,3.010141083,-5.16682457,TS_Rps28_high(Trophoblast-Stem-Cell)     
1319,X43.180,3.07820942,-5.051377183,ES_Nedd4_high(Embryonic-Stem-Cell)     
1320,X25.10,3.067923802,-5.632204066,TS_Rps28_high(Trophoblast-Stem-Cell)     
1321,X7.179,3.081703281,-4.984425742,ES_Actb_high(Embryonic-Stem-Cell)     
1322,X6.180,3.010619931,-5.122252463,ES_Nedd4_high(Embryonic-Stem-Cell)     
1323,X28.10,2.966849628,-5.502388048,TS_Rps28_high(Trophoblast-Stem-Cell)     
1324,X29.10,2.991318934,-4.78757096,TS_Rps28_high(Trophoblast-Stem-Cell)     
1325,X30.10,3.074239958,-5.351950287,TS_Rps28_high(Trophoblast-Stem-Cell)     
1326,X31.10,3.1995181,-5.539466099,TS_Rps28_high(Trophoblast-Stem-Cell)     
1327,X32.10,3.293814513,-5.619828485,TS_Rps28_high(Trophoblast-Stem-Cell)     
1328,X5.179,2.936634121,-5.147747829,ES_Actb_high(Embryonic-Stem-Cell)     
1329,X35.10,3.011910291,-5.270995346,TS_Rps28_high(Trophoblast-Stem-Cell)     
1330,X36.10,3.144660167,-5.229360293,TS_Rps28_high(Trophoblast-Stem-Cell)     
1331,X12.181,2.944540654,-4.957854308,ES_Rps28_high(Embryonic-Stem-Cell)     
1332,X42.10,2.788169588,-5.743809245,TS_Rps28_high(Trophoblast-Stem-Cell)     
1333,X44.10,2.880915976,-5.519226182,TS_Rps28_high(Trophoblast-Stem-Cell)     
1334,X45.10,3.020019011,-5.310277591,TS_Rps28_high(Trophoblast-Stem-Cell)     
1335,X46.10,3.027799289,-5.251413784,TS_Rps28_high(Trophoblast-Stem-Cell)     
1336,X12.179,3.03115771,-5.118597142,ES_Actb_high(Embryonic-Stem-Cell)     
1337,X47.10,2.959579724,-5.651378806,TS_Rps28_high(Trophoblast-Stem-Cell)     
1338,X48.10,3.203106285,-5.397287554,TS_Rps28_high(Trophoblast-Stem-Cell)     
1339,X49.10,2.90695422,-5.602961713,TS_Rps28_high(Trophoblast-Stem-Cell)     
1340,X0.12,-0.969192517,2.345536941,MEF(Trophoblast-Stem-Cell)     
1341,X36.182,-1.304810208,2.072374831,Macrophage(Embryonic-Mesenchyme)     
1342,X4.11,5.924752485,-6.907967988,MEF(Trophoblast-Stem-Cell)     
1343,X1.11,5.927003016,-6.917061152,MEF(Trophoblast-Stem-Cell)     
1344,X16.11,6.052617996,-6.981082901,MEF(Trophoblast-Stem-Cell)     
1345,X20.11,6.013071497,-6.947889404,MEF(Trophoblast-Stem-Cell)     
1346,X28.11,5.901620828,-6.810773372,MEF(Trophoblast-Stem-Cell)     
1347,X37.11,5.936040075,-6.88906801,MEF(Trophoblast-Stem-Cell)     
1348,X10.11,6.036451852,-6.899802317,MEF(Trophoblast-Stem-Cell)     
1349,X2.11,6.089069878,-6.957108526,MEF(Trophoblast-Stem-Cell)     
1350,X13.11,6.026977217,-6.895648519,MEF(Trophoblast-Stem-Cell)     
1351,X25.11,6.030819603,-6.901849265,MEF(Trophoblast-Stem-Cell)     
1352,X26.11,6.159819622,-7.02838129,MEF(Trophoblast-Stem-Cell)     
1353,X42.11,6.170936966,-7.043403434,MEF(Trophoblast-Stem-Cell)     
1354,X3.11,6.092384863,-6.929537367,MEF(Trophoblast-Stem-Cell)     
1355,X14.11,5.884728022,-6.808517471,MEF(Trophoblast-Stem-Cell)     
1356,X23.11,6.118396498,-6.975093277,MEF(Trophoblast-Stem-Cell)     
1357,X11.112,5.919877501,-6.607104133,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1358,X33.11,5.907643468,-6.83526971,MEF(Trophoblast-Stem-Cell)     
1359,X38.11,6.007180511,-6.933286129,MEF(Trophoblast-Stem-Cell)     
1360,X47.11,5.817394611,-6.814857159,MEF(Trophoblast-Stem-Cell)     
1361,X38.42,-4.015346806,4.627960464,Stromal cell(Placenta)    
1362,X5.11,-4.327105828,4.5292431,MEF(Trophoblast-Stem-Cell)     
1363,X6.62,-4.427788671,4.543212723,Stroma cell (Ovary)   
1364,X0.74,-4.25508573,4.609518368,Osteoblast_Ppic high(Neonatal-Skin)    
1365,X33.73,-4.499105542,4.577602256,Osteoblast_Ppic high(Neonatal-Skin)    
1366,X6.11,5.917107633,-6.870081842,MEF(Trophoblast-Stem-Cell)     
1367,X7.11,5.933427301,-6.865619363,MEF(Trophoblast-Stem-Cell)     
1368,X14.112,5.828669769,-6.706231945,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1369,X24.11,5.868993902,-6.8128362,MEF(Trophoblast-Stem-Cell)     
1370,X8.11,5.800986922,-6.725162386,MEF(Trophoblast-Stem-Cell)     
1371,X32.11,5.748682548,-6.382768469,MEF(Trophoblast-Stem-Cell)     
1372,X1.111,5.724650917,-6.669871055,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1373,X6.112,5.812005013,-6.749568441,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1374,X9.11,5.74842433,-6.683467516,MEF(Trophoblast-Stem-Cell)     
1375,X34.111,5.640629776,-6.653463609,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1376,X42.111,5.664801598,-6.690735796,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1377,X40.112,5.621297039,-6.606540482,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1378,X25.111,5.904703758,-6.756494716,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1379,X15.11,6.14485328,-7.030059986,MEF(Trophoblast-Stem-Cell)     
1380,X11.11,6.177726352,-7.03926095,MEF(Trophoblast-Stem-Cell)     
1381,X36.11,6.171242049,-7.039440759,MEF(Trophoblast-Stem-Cell)     
1382,X46.11,6.167668185,-7.036674488,MEF(Trophoblast-Stem-Cell)     
1383,X12.11,6.156205792,-7.021655748,MEF(Trophoblast-Stem-Cell)     
1384,X43.11,6.151722101,-7.010080269,MEF(Trophoblast-Stem-Cell)     
1385,X18.11,6.091947071,-7.007960367,MEF(Trophoblast-Stem-Cell)     
1386,X30.11,5.521214288,-6.83812002,MEF(Trophoblast-Stem-Cell)     
1387,X17.11,5.599799939,-6.897042889,MEF(Trophoblast-Stem-Cell)     
1388,X34.11,5.591386668,-6.82350897,MEF(Trophoblast-Stem-Cell)     
1389,X15.111,5.486076853,-6.819995619,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1390,X44.111,5.547061683,-6.814115139,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1391,X47.112,5.509680978,-6.846175836,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1392,X19.11,5.853758208,-6.899917677,MEF(Trophoblast-Stem-Cell)     
1393,X3.112,5.564474475,-6.82314943,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1394,X21.11,6.110919706,-7.008689507,MEF(Trophoblast-Stem-Cell)     
1395,X22.11,5.849654548,-6.707552963,MEF(Trophoblast-Stem-Cell)     
1396,X10.111,5.83740885,-6.754765333,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1397,X0.112,5.745826823,-6.504334882,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1398,X27.11,5.731093703,-6.503944436,MEF(Trophoblast-Stem-Cell)     
1399,X29.112,5.526381835,-6.649887997,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1400,X34.112,5.668012169,-6.580366727,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1401,X46.112,5.661193991,-6.592224913,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1402,X35.111,5.717802838,-6.671489636,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1403,X2.111,5.501182106,-6.678447296,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1404,X29.11,5.388488417,-6.501317816,MEF(Trophoblast-Stem-Cell)     
1405,X8.111,5.6169551,-6.642571101,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1406,X43.111,5.0614095,-5.915092464,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1407,X21.112,5.458476697,-6.669622954,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1408,X4.111,5.532049597,-6.788606076,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1409,X20.112,5.510250824,-6.785436998,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1410,X30.112,5.527287153,-6.787265342,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1411,X32.112,5.440592364,-6.849516776,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1412,X48.11,5.696005738,-6.55925944,MEF(Trophoblast-Stem-Cell)     
1413,X31.11,5.713940235,-6.642729606,MEF(Trophoblast-Stem-Cell)     
1414,X7.111,5.780288336,-6.638765067,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1415,X29.171,5.512491513,-4.753608434,Stromal cell_Stmn2 high (Fetal_Intestine)  
1416,X20.184,6.184959585,-4.841263412,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
1417,X41.112,5.631348025,-6.667906472,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1418,X35.11,5.537615987,-6.813910425,MEF(Trophoblast-Stem-Cell)     
1419,X13.111,5.614785771,-6.683690825,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1420,X40.11,6.226154335,-4.624767832,MEF(Trophoblast-Stem-Cell)     
1421,X41.11,5.913999177,-6.300032802,MEF(Trophoblast-Stem-Cell)     
1422,X40.42,6.258347582,-3.959892907,Stromal cell(Placenta)    
1423,X2.88,6.269390783,-4.019366772,Mesenchymal cell(Neonatal-Muscle)    
1424,X25.88,6.34979685,-4.105682202,Mesenchymal cell(Neonatal-Muscle)    
1425,X20.111,5.811028719,-6.47556257,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1426,X43.112,5.722021499,-6.553142421,Mesenchymal stem cell_Cxcl1 high(Mesenchymal-Stem-Cell-Cultured)  
1427,X12.170,6.431260389,-4.853739002,Enterocyte progenitor(Fetal_Intestine)    
1428,X44.11,5.655294784,-6.844167757,MEF(Trophoblast-Stem-Cell)     
1429,X45.11,3.727064733,-5.926654268,MEF(Trophoblast-Stem-Cell)     
1430,X18.111,5.640641644,-6.540150599,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1431,X23.111,5.653870848,-6.577514469,Mesenchymal stem cell_Tmsb10 high(Mesenchymal-Stem-Cell-Cultured)  
1432,X49.11,-3.93790254,4.407387089,MEF(Trophoblast-Stem-Cell)     
1433,X0.43,-3.948860405,4.568955916,Stromal cell(Placenta)    
1434,X14.42,-3.852021973,4.309033978,Stromal cell(Placenta)    
1435,X37.42,-3.906439815,4.413672763,Stromal cell(Placenta)    
1436,X15.12,-7.219757307,-1.496692949,B cell(Thymus)    
1437,X0.13,-7.337363597,-1.237764284,B cell(Thymus)    
1438,X33.12,-7.472394063,-1.174279225,B cell(Thymus)    
1439,X5.14,-7.333280514,-1.154425501,T cell_Ms4a4b high(Thymus)   
1440,X29.14,-7.375912761,-1.094789428,T cell_Ms4a4b high(Thymus)   
1441,X1.12,-7.351988708,-1.335424685,B cell(Thymus)    
1442,X25.12,-7.328965298,-1.093567953,B cell(Thymus)    
1443,X41.12,-7.296901846,-1.244566285,B cell(Thymus)    
1444,X18.12,-7.359772213,-1.159786123,B cell(Thymus)    
1445,X2.12,-7.290118984,-1.112168516,B cell(Thymus)    
1446,X9.14,-7.219173022,-1.027352823,T cell_Ms4a4b high(Thymus)   
1447,X39.15,-7.398109848,-1.04467562,DPT cell(Thymus)    
1448,X3.14,-7.344690534,-1.050208606,T cell_Ms4a4b high(Thymus)   
1449,X3.12,-7.296903567,-1.174985567,B cell(Thymus)    
1450,X7.14,-7.232085472,-1.061854093,T cell_Ms4a4b high(Thymus)   
1451,X4.12,-7.356722261,-1.132481121,B cell(Thymus)    
1452,X5.12,-7.324033675,-1.048425223,B cell(Thymus)    
1453,X32.14,-7.229593564,-0.910230444,T cell_Ms4a4b high(Thymus)   
1454,X8.12,-7.173019613,-1.596540184,B cell(Thymus)    
1455,X6.12,-7.219643705,-1.532817415,B cell(Thymus)    
1456,X48.12,-7.0458486,-1.636223196,B cell(Thymus)    
1457,X39.13,-7.281420991,-1.490660016,Proliferating thymocyte(Thymus)    
1458,X7.12,-7.241119048,-1.406373288,B cell(Thymus)    
1459,X1.14,-7.04525543,-1.641410789,T cell_Ms4a4b high(Thymus)   
1460,X4.130,-6.885135142,-1.537892718,T cell_Pclaf high(Mammary-Gland-Involution)   
1461,X46.130,-6.43035692,-1.88845314,T cell_Pclaf high(Mammary-Gland-Involution)   
1462,X9.12,-7.308163735,-1.123848209,B cell(Thymus)    
1463,X10.12,-7.30341214,-1.115717546,B cell(Thymus)    
1464,X11.12,-7.141210845,-1.611144741,B cell(Thymus)    
1465,X32.13,-7.147944533,-1.67153814,Proliferating thymocyte(Thymus)    
1466,X8.32,-5.309700165,-1.519537583,T cell(Spleen)    
1467,X12.12,-5.320306004,-1.59006769,B cell(Thymus)    
1468,X12.32,-5.3570923,-1.701021542,T cell(Spleen)    
1469,X42.32,-5.388279036,-1.51698861,T cell(Spleen)    
1470,X0.117,-5.37809142,-1.708689364,Dividing cell(Mammary-Gland-Virgin)    
1471,X1.116,-5.341572262,-1.492761829,Dividing cell(Mammary-Gland-Virgin)    
1472,X8.14,-7.037927093,-1.084941215,T cell_Ms4a4b high(Thymus)   
1473,X13.12,-7.133589661,-1.269733133,B cell(Thymus)    
1474,X46.14,-6.962229679,-1.40041851,T cell_Ms4a4b high(Thymus)   
1475,X13.130,-6.907710077,-1.443345674,T cell_Pclaf high(Mammary-Gland-Involution)   
1476,X14.12,-7.260413523,-1.618865446,B cell(Thymus)    
1477,X40.12,-7.170754155,-1.671322431,B cell(Thymus)    
1478,X11.130,-6.837329612,-1.550041046,T cell_Pclaf high(Mammary-Gland-Involution)   
1479,X38.12,-6.810286642,-1.078771304,B cell(Thymus)    
1480,X16.12,-7.130797744,-1.069100149,B cell(Thymus)    
1481,X37.14,-6.870046066,-1.042677564,T cell_Ms4a4b high(Thymus)   
1482,X17.12,-7.316248173,-1.093206247,B cell(Thymus)    
1483,X19.12,-7.270942728,-1.086380474,B cell(Thymus)    
1484,X45.12,-7.170131471,-1.071704144,B cell(Thymus)    
1485,X20.12,-7.056839441,-1.736784874,B cell(Thymus)    
1486,X34.12,-7.004146569,-1.779095892,B cell(Thymus)    
1487,X21.12,-7.287334417,-1.195727858,B cell(Thymus)    
1488,X22.12,-7.048668454,-1.741775291,B cell(Thymus)    
1489,X27.12,-7.098985577,-1.726169002,B cell(Thymus)    
1490,X30.12,-7.069251174,-1.75696839,B cell(Thymus)    
1491,X23.12,-7.196475897,-1.278679888,B cell(Thymus)    
1492,X40.14,-7.03189022,-0.981771341,T cell_Ms4a4b high(Thymus)   
1493,X24.12,-7.275551807,-1.479908298,B cell(Thymus)    
1494,X33.14,-7.263196,-0.906701126,T cell_Ms4a4b high(Thymus)   
1495,X28.12,-7.054820867,-1.442312744,B cell(Thymus)    
1496,X29.12,-7.224833422,-1.093868813,B cell(Thymus)    
1497,X31.12,-7.344821639,-1.074981852,B cell(Thymus)    
1498,X32.12,-7.267354893,-1.268276684,B cell(Thymus)    
1499,X35.12,-7.311329595,-1.312884254,B cell(Thymus)    
1500,X36.12,-7.315177188,-1.144822685,B cell(Thymus)    
1501,X37.12,-7.425591657,-1.127134298,B cell(Thymus)    
1502,X6.14,-6.775719189,-0.89963666,T cell_Ms4a4b high(Thymus)   
1503,X20.14,-6.435546193,-1.08729096,T cell_Ms4a4b high(Thymus)   
1504,X36.51,-6.720722662,-1.121873104,T cell_Trbc2 high(Peripheral_Blood)   
1505,X10.117,-6.39533375,-1.062088013,T-cells_Ctla4 high(Mammary-Gland-Virgin)    
1506,X39.12,-7.151062113,-1.592379011,B cell(Thymus)    
1507,X42.12,-7.248189052,-1.400763086,B cell(Thymus)    
1508,X43.12,-7.340475488,-1.072005292,B cell(Thymus)    
1509,X44.12,-7.206983182,-1.055757175,B cell(Thymus)    
1510,X46.12,-7.280976941,-1.164126908,B cell(Thymus)    
1511,X47.12,-7.301163197,-1.101693842,B cell(Thymus)    
1512,X35.13,-7.289027477,-1.304868563,Proliferating thymocyte(Thymus)    
1513,X25.116,-6.312589285,-1.946440676,Dividing cell(Mammary-Gland-Virgin)    
1514,X49.12,-7.277248463,-1.124603831,B cell(Thymus)    
1515,X1.13,-7.343551956,-1.081150632,Proliferating thymocyte(Thymus)    
1516,X2.13,-7.082770154,-1.730965151,Proliferating thymocyte(Thymus)    
1517,X4.13,-7.258105516,-1.553614956,Proliferating thymocyte(Thymus)    
1518,X5.13,-7.249478451,-1.578985411,Proliferating thymocyte(Thymus)    
1519,X6.13,-6.944424111,-1.64885696,Proliferating thymocyte(Thymus)    
1520,X7.13,-7.191706272,-1.570727377,Proliferating thymocyte(Thymus)    
1521,X8.13,-7.372618083,-1.163218572,Proliferating thymocyte(Thymus)    
1522,X9.13,-7.091525413,-1.775947724,Proliferating thymocyte(Thymus)    
1523,X10.13,-7.36317858,-1.16709196,Proliferating thymocyte(Thymus)    
1524,X11.13,-7.32164667,-1.214734423,Proliferating thymocyte(Thymus)    
1525,X12.13,-7.262753142,-1.332823756,Proliferating thymocyte(Thymus)    
1526,X46.13,-7.416514577,-1.090920052,Proliferating thymocyte(Thymus)    
1527,X13.13,-7.405037636,-1.254826895,Proliferating thymocyte(Thymus)    
1528,X14.13,-7.063188899,-1.750092378,Proliferating thymocyte(Thymus)    
1529,X15.13,-7.350729608,-1.264199108,Proliferating thymocyte(Thymus)    
1530,X16.13,-7.30611606,-1.394940397,Proliferating thymocyte(Thymus)    
1531,X17.13,-7.338363278,-1.162117108,Proliferating thymocyte(Thymus)    
1532,X18.13,-7.276250141,-1.429100427,Proliferating thymocyte(Thymus)    
1533,X19.13,-7.396056764,-1.166663652,Proliferating thymocyte(Thymus)    
1534,X20.13,-7.184975976,-1.513779745,Proliferating thymocyte(Thymus)    
1535,X22.13,-7.124570106,-1.552652565,Proliferating thymocyte(Thymus)    
1536,X21.13,-7.02129912,-1.563265162,Proliferating thymocyte(Thymus)    
1537,X23.13,-7.190595786,-1.63271252,Proliferating thymocyte(Thymus)    
1538,X24.13,-7.210458864,-1.480307981,Proliferating thymocyte(Thymus)    
1539,X25.13,-6.992042839,-1.671083493,Proliferating thymocyte(Thymus)    
1540,X26.13,-7.246835297,-1.429942065,Proliferating thymocyte(Thymus)    
1541,X27.13,-6.581496967,-1.819898179,Proliferating thymocyte(Thymus)    
1542,X26.51,-6.204453852,-1.907303672,T cell_Trbc2 high(Peripheral_Blood)   
1543,X12.130,-6.258133727,-1.947839604,T cell_Pclaf high(Mammary-Gland-Involution)   
1544,X28.13,-7.182124314,-1.622424282,Proliferating thymocyte(Thymus)    
1545,X29.13,-7.214914803,-1.559663882,Proliferating thymocyte(Thymus)    
1546,X30.13,-7.282736554,-1.175882187,Proliferating thymocyte(Thymus)    
1547,X31.13,-7.209643963,-1.516947742,Proliferating thymocyte(Thymus)    
1548,X33.13,-7.129430401,-1.363015258,Proliferating thymocyte(Thymus)    
1549,X34.13,-7.230472329,-1.528836427,Proliferating thymocyte(Thymus)    
1550,X36.13,-7.351193817,-1.152609093,Proliferating thymocyte(Thymus)    
1551,X37.13,-7.302804438,-1.078216214,Proliferating thymocyte(Thymus)    
1552,X38.13,-7.237124026,-1.600681068,Proliferating thymocyte(Thymus)    
1553,X40.13,-7.051979077,-1.500956718,Proliferating thymocyte(Thymus)    
1554,X41.13,-7.337369025,-1.367382329,Proliferating thymocyte(Thymus)    
1555,X42.13,-7.156218285,-1.569091682,Proliferating thymocyte(Thymus)    
1556,X43.13,-7.201959746,-1.684900464,Proliferating thymocyte(Thymus)    
1557,X44.13,-7.307116832,-1.346466467,Proliferating thymocyte(Thymus)    
1558,X45.13,-7.2092788,-1.533481995,Proliferating thymocyte(Thymus)    
1559,X47.13,-7.241522365,-1.611298907,Proliferating thymocyte(Thymus)    
1560,X48.13,-6.923245366,-1.616641525,Proliferating thymocyte(Thymus)    
1561,X0.15,-6.565756801,-0.837426424,T cell_Ms4a4b high(Thymus)   
1562,X7.113,-6.584739366,-0.885458696,T cell_Cd8b1 high(Mammary-Gland-Virgin)   
1563,X15.117,-6.733794418,-0.85331401,T-cells_Ctla4 high(Mammary-Gland-Virgin)    
1564,X31.117,-6.209622906,-0.915176633,T-cells_Ctla4 high(Mammary-Gland-Virgin)    
1565,X27.122,-6.742846312,-0.726698081,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
1566,X8.116,-6.513871608,-1.62039408,Dividing cell(Mammary-Gland-Virgin)    
1567,X2.130,-6.592539714,-1.62150799,T cell_Pclaf high(Mammary-Gland-Involution)   
1568,X35.130,-6.57122758,-1.657609737,T cell_Pclaf high(Mammary-Gland-Involution)   
1569,X2.14,-7.148375602,-0.666130619,T cell_Ms4a4b high(Thymus)   
1570,X16.14,-7.120196764,-0.733935495,T cell_Ms4a4b high(Thymus)   
1571,X19.122,-6.798643492,-0.657597332,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
1572,X12.113,-6.771945724,-1.150264232,T cell_Cd8b1 high(Mammary-Gland-Virgin)   
1573,X11.116,-6.905689625,-1.186132209,Dividing cell(Mammary-Gland-Virgin)    
1574,X20.122,-7.081875292,-0.756354436,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
1575,X27.113,-7.129918423,-0.656135287,T cell_Cd8b1 high(Mammary-Gland-Virgin)   
1576,X29.117,-6.805379684,-0.691000616,T-cells_Ctla4 high(Mammary-Gland-Virgin)    
1577,X42.51,-6.663620602,-0.887086441,T cell_Trbc2 high(Peripheral_Blood)   
1578,X3.116,-6.292406441,-0.972105454,Dividing cell(Mammary-Gland-Virgin)    
1579,X31.116,-6.769366754,-1.042908636,Dividing cell(Mammary-Gland-Virgin)    
1580,X21.14,-6.89938162,-0.95629101,T cell_Ms4a4b high(Thymus)   
1581,X14.14,-7.098730791,-0.792432293,T cell_Ms4a4b high(Thymus)   
1582,X15.14,-6.944820596,-0.879970337,T cell_Ms4a4b high(Thymus)   
1583,X10.14,-7.104665929,-0.771892493,T cell_Ms4a4b high(Thymus)   
1584,X11.14,-7.058902607,-0.919671033,T cell_Ms4a4b high(Thymus)   
1585,X36.14,-6.792734948,-0.967532796,T cell_Ms4a4b high(Thymus)   
1586,X12.14,-6.925054569,-0.751411682,T cell_Ms4a4b high(Thymus)   
1587,X45.32,-6.727562185,-0.6984733,T cell(Spleen)    
1588,X45.14,-6.924407454,-1.195524891,T cell_Ms4a4b high(Thymus)   
1589,X44.51,-6.05325957,-0.953384949,T cell_Trbc2 high(Peripheral_Blood)   
1590,X1.122,-6.665288386,-0.765805035,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
1591,X17.14,-7.467189137,-0.804183427,T cell_Ms4a4b high(Thymus)   
1592,X3.32,-5.939575927,-1.012172557,T cell(Spleen)    
1593,X18.14,-6.136372696,-1.109836519,T cell_Ms4a4b high(Thymus)   
1594,X5.51,-6.201034152,-1.098418612,T cell_Trbc2 high(Peripheral_Blood)   
1595,X21.113,-6.036476199,-1.186411344,T cell_Cd8b1 high(Mammary-Gland-Virgin)   
1596,X37.122,-5.84129159,-1.093502891,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
1597,X19.14,-6.954204634,-1.303325667,T cell_Ms4a4b high(Thymus)   
1598,X32.51,-6.848007318,-1.211767428,T cell_Trbc2 high(Peripheral_Blood)   
1599,X37.130,-6.893485147,-1.251837782,T cell_Pclaf high(Mammary-Gland-Involution)   
1600,X27.14,-7.11051537,-0.919949094,T cell_Ms4a4b high(Thymus)   
1601,X24.14,-7.103304601,-0.775067582,T cell_Ms4a4b high(Thymus)   
1602,X25.14,-6.950218409,-0.8030864,T cell_Ms4a4b high(Thymus)   
1603,X26.14,-7.262675401,-1.061836701,T cell_Ms4a4b high(Thymus)   
1604,X28.14,-6.032748375,-1.36079276,T cell_Ms4a4b high(Thymus)   
1605,X15.116,-6.006086109,-1.300891566,Dividing cell(Mammary-Gland-Virgin)    
1606,X17.122,-6.14126076,-1.19359197,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
1607,X10.127,-6.063410598,-1.456055033,T cell(Mammary-Gland-Pregrancy)    
1608,X0.131,-6.053162444,-1.550488898,T cell_Pclaf high(Mammary-Gland-Involution)   
1609,X30.14,-7.300998984,-0.782254537,T cell_Ms4a4b high(Thymus)   
1610,X31.14,-6.715523416,-1.054638233,T cell_Ms4a4b high(Thymus)   
1611,X35.14,-6.861589269,-1.523575053,T cell_Ms4a4b high(Thymus)   
1612,X39.14,-6.997528067,-1.000689977,T cell_Ms4a4b high(Thymus)   
1613,X17.51,-6.941836522,-1.295180587,T cell_Trbc2 high(Peripheral_Blood)   
